sSFR,logMstar,age,logMhalo,vlos_sigma,r_rvir
-11.9704,10.19035,5.317074,13.79671,2.1286916674997975,0.3570521130138325
-10.19392,10.4325,1.356773,13.45827,2.1273169084349965,0.5890558879422747
-12.15187,10.82289,10.4277,14.34407,2.126014008645854,0.08685563878983756
-12.42011,11.10659,10.51103,14.34407,2.123621806394783,0.07398307050388318
-10.17873,10.38721,1.775646,13.80481,2.12334853962832,0.42867340812041355
-11.47545,10.51139,8.681428,13.45104,2.1230636435218098,0.22442990935443816
-9.682701,10.09681,0.7649431,13.58913,2.122288457377321,0.3247796689877135
-12.0475,10.45357,8.572506,13.77629,2.1219315732191766,0.7057408306028763
-11.45136,10.26613,5.854226,13.45742,2.119762074500339,0.08494106372527548
-10.1925,10.30008,1.915893,13.95533,2.1188286657764657,0.3744621329624827
-11.63558,10.34274,5.875871,13.49553,2.1173412247350947,0.33742318068592214
-9.677293,9.642892,0.5369359,13.87317,2.114096449151721,0.9911611842220259
-10.58167,10.8459,4.045601,13.40961,2.113227810808835,0.7568057290689795
-11.2584,10.9877,3.058726,14.08722,2.113183658908276,1.4838912087565803
-10.18968,9.915348,2.260101,13.98834,2.1108371003209636,1.3373559668532449
-10.86614,10.71498,4.309055,13.98834,2.1091301886096945,0.20262120284531515
-11.39754,10.13547,5.111176,14.38108,2.1078173233891584,0.5547586348937579
-12.08911,10.90921,10.11707,13.43793,2.1075722079824186,0.23312312235373553
-12.38311,11.45539,9.942153,13.51459,2.1054208011191093,0.22009646412234338
-12.19913,11.31803,11.1365,13.42614,2.1046838786387374,0.12476149571742741
-11.18248,10.32683,2.397607,13.58035,2.1044411502067675,0.12458913129734929
-11.57227,11.04995,2.512852,13.42906,2.104376476712175,0.19233196276997885
-12.1431,10.8928,6.439656,13.82634,2.1039827020016997,0.2754978825187916
-9.640392,10.85192,1.847282,13.92275,2.1031506383647063,0.8425571260154597
-9.850106,10.89848,2.2864,14.23404,2.0965340839364957,0.4159193208364196
-11.97446,10.86274,11.07961,14.39986,2.0944420726152,0.13585972318219092
-12.07738,10.77436,10.52395,14.35545,2.0924903374297767,0.21728276663265497
-12.83469,10.5225,5.05859,13.65277,2.091504241077104,0.11334260379299749
-11.44967,10.54496,4.253361,14.22571,2.0854437511502115,0.903349809335779
-9.832367,9.826988,0.9456564,14.04944,2.0853366881177435,0.33728859523132987
-11.3015,10.86337,4.260053,14.35545,2.0829031431340064,0.6261308604163508
-10.13734,11.14375,2.21632,13.69648,2.079761972962749,0.548665872587498
-10.39472,11.21436,3.478208,13.76422,2.0796962443012217,0.6848239890092278
-12.14753,10.83886,9.939336,13.60832,2.077356036798255,0.3051015498830079
-11.88548,10.38358,8.813521,13.57222,2.07610493105405,1.6753206289200315
-10.84275,10.51688,2.00784,14.19435,2.075046202323955,0.4012054709836952
-9.968976,10.06436,0.8767945,14.12985,2.0750001044046416,0.6957625939220983
-10.19965,10.8423,1.166544,13.59111,2.073289806961916,0.17118606141438153
-10.82927,10.50649,2.888217,13.42025,2.073114654273395,0.6493372306012402
-11.19362,10.27632,5.793549,13.50432,2.072461350901037,0.2358246780164013
-11.62454,10.5984,9.813986,14.10592,2.0702845998010395,0.3414227906219913
-10.09117,10.53991,1.750915,13.6647,2.0696064208709752,0.6823604332015958
-11.59658,11.47241,10.79953,13.77629,2.0680301442484206,0.5620026667582784
-11.2042,10.33032,6.704268,13.60818,2.067153136362478,0.20066603700456445
-11.68824,10.93534,5.612077,13.67411,2.0636453729061905,0.6330179113744923
-11.88059,10.26136,5.91087,14.13857,2.0627723607181254,0.18143165268541026
-11.986,10.03235,3.707444,14.38108,2.0625059345148697,0.5552161350689079
-12.20326,11.01201,10.89665,13.41406,2.054329935092031,0.3806230162238313
-11.57667,10.73026,10.14429,13.94864,2.051329979311552,0.022464610221593757
-11.78889,10.64727,6.621978,14.43986,2.0512847415759734,0.5163418396510817
-10.46376,10.61308,3.465847,14.22571,2.0508094206858254,0.2877298122295812
-10.27267,10.28504,1.642743,13.98834,2.0496355338061556,0.92309213019649
-10.14583,10.73036,0.9944003,13.50432,2.048452108808133,0.3720840998456944
-10.51142,11.13436,3.874011,13.76826,2.044917855662733,0.3634939911065874
