"","AGN","lgm_tot_p50","sfr_tot_p50","color_gr","Galaxy","type"
"580","No",1.60584612113987,-0.631904375070653,0.528033072097401,"E","Before PSM"
"581","No",0.821065441101095,0.662987126761767,0.575066276279337,"S","Before PSM"
"583","No",1.88814765536337,-0.461786212020719,0.62651217189212,"E","Before PSM"
"585","No",2.96341603805443,-0.151457690715108,0.802690145283672,"E","Before PSM"
"596","No",-0.315659843090445,1.62632110066008,-1.03044331627456,"S","Before PSM"
"599","No",-0.658023598267309,-1.31071825214314,0.488486227170549,"S","Before PSM"
"607","No",-0.837058133718897,1.33580047087395,-0.532174372844622,"S","Before PSM"
"611","No",0.000750726252958988,1.63237849862475,-0.406275721469208,"S","Before PSM"
"612","No",-0.526195967421665,1.12630622480344,-0.566314402753902,"S","Before PSM"
"613","No",1.84609500495332,-0.384878971121088,0.819412724188856,"E","Before PSM"
"619","No",-0.487448103525454,-1.35016930516947,0.540916102251833,"S","Before PSM"
"624","No",0.405026170065241,-0.0868431082584593,0.528367827999027,"S","Before PSM"
"629","Yes",0.896711701211464,-1.11368356202842,0.784613326594513,"E","Before PSM"
"642","No",1.98116678402815,-0.391636471639463,0.718529468373179,"E","Before PSM"
"650","No",1.92359073274575,-0.833817215559589,0.650508083569562,"E","Before PSM"
"652","No",0.0990453856829438,0.784259054314658,0.222385717712823,"S","Before PSM"
"654","No",0.766339389197601,-0.720528356869088,0.788812991542525,"S","Before PSM"
"656","Yes",0.0747294335352421,-0.506208490428397,-0.0177559931896176,"S","Before PSM"
"664","Yes",-0.276093362351356,-1.31337917734727,0.291086758437987,"S","Before PSM"
"691","No",0.566778794389413,2.05013738067145,-0.15246481124938,"S","Before PSM"
"695","No",-0.444667793699509,-0.526436366980097,0.191319355627798,"S","Before PSM"
"719","No",-0.490480017758333,0.829514596286256,-0.0765563745205061,"S","Before PSM"
"731","No",0.292148003175098,1.16764389547449,-0.626514672400765,"S","Before PSM"
"732","No",1.91810296798423,-0.424645969171654,0.744833166948341,"E","Before PSM"
"734","No",-0.975313422738247,0.810202794554828,-0.14572404468431,"S","Before PSM"
"741","No",0.632510694958261,1.54479517190614,-0.773543522053116,"S","Before PSM"
"749","No",1.13793079757943,-0.944599424057803,0.56409034035248,"E","Before PSM"
"750","No",-0.417350246461257,0.672848105018213,0.254354906320474,"S","Before PSM"
"752","Yes",1.49575731534399,-0.821382139605682,0.516651371441276,"E","Before PSM"
"761","No",0.854840965655381,-0.942731548914516,0.639948056490214,"S","Before PSM"
"762","No",-0.130015734611174,-1.18522891751673,0.429249648755712,"S","Before PSM"
"768","Yes",1.73618811401141,-1.03930643132287,0.934031116090487,"E","Before PSM"
"779","No",0.0277347629255914,0.238870584227363,0.511736546157941,"S","Before PSM"
"781","No",-0.851611322036727,1.31919168209987,-0.978327908858484,"S","Before PSM"
