bpt lgm_tot_p50 sfr_tot_p50 color_gr zoo RprojLW_Rvir logM200_L groupID distance weights
1            -0.537626284 -0.787997537  0.624625366 S            2.95916097   14.24369       64         0.62092548   1           
0             0.984273384  1.034649273  0.199104966 S            5.77728415   14.24369       64         0.81022188   1           
0            -0.504760334  1.224586292 -1.010018134 S            2.24077022   14.24369       64         0.97036999   1           
1             0.025915614  0.151031492 -0.141534524 S            1.22934111   14.24369       64         0.78617581   1           
0             1.256448325 -0.964574851  0.755596076 S            0.62884932   14.24333      113         0.15446479   1           
0            -0.182589127  0.534354279  0.346727247 S            0.30112569   14.24333      113         0.87971302   1           
1             0.079034752 -0.574599496  0.152051474 S            1.31377660   14.24333      113         0.54841333   1           
1             0.355272458 -0.287640961 -0.232841732 S            3.39252380   14.24002       68         0.58684365   1           
0             0.370068199 -1.029700581  1.014357316 S            2.49873089   14.24002       68         0.29438951   1           
0             0.770584069 -0.519643166  0.595395089 S            0.51386519   14.24002       68         0.36909300   1           
0            -0.786667719 -0.627499250  0.190563619 S            0.56844240   14.24002       68         0.74004623   1           
1             0.762125028  0.052075675  0.297594210 S            0.53550320   14.23404       40         0.57694360   1           
0            -0.032479054 -1.175334917  0.599802709 S            3.07118847   14.23094      121         0.35784064   1           
1            -0.017349802  0.243436360  0.563674432 S            5.49421287   14.23040      129         0.79845649   1           
0            -0.054490751 -0.919136397  0.530203913 S            6.85909380   14.23040      129         0.45141025   1           
1            -0.246047092 -0.650852152  0.519187401 S            0.22125625   14.23040      129         0.59522182   1           
1             0.256068224  0.492659736  0.527282407 S            1.05846890   14.23040      129         0.80757383   1           
1             0.535186248 -0.752773109 -0.156659404 S            5.71585382   14.23041       58         0.37752370   1           
1            -0.203327421  1.238713931 -0.427446496 S            2.46456539   14.22571        6         0.95695338   1           
1            -0.183589659  0.426752304  0.237774345 S            0.20030805   14.22571        6         0.86491110   1           
0             1.337673307  1.498389376 -0.307193047 S            0.63179652   14.22452      138         0.85670676   1           
1            -0.003979060  1.333995071  1.314694225 S            1.18212395   14.21717       90         0.94112486   1           
0             1.370448300  0.088492610 -0.683463752 S            5.82263802   14.21717       90         0.46164682   1           
1            -0.360047067  1.589126543 -1.279826319 S            7.22611234   14.21717       90         0.97973701   1           
0             0.994096786  1.977316515  0.201032349 S            2.97952008   14.21717       90         0.93998265   1           
1            -0.268938045 -0.437729510  0.134116673 S            1.08027884   14.21717       90         0.68163964   1           
0             0.994096786  1.065981508  0.369526153 S            0.48344193   14.21717       90         0.81156318   1           
0             1.197204721 -0.275199510  0.736621503 S            0.91812563   14.21717       90         0.33734743   1           
0             0.039043803 -1.670209630  1.113166100 S            0.68382191   14.21717       90         0.19423042   1           
1             1.861860959  0.680574606  0.409544699 S            3.47384113   14.21601       27         0.49636803   1           
0             0.195399620  0.582196618  0.367416176 S            0.95991130   14.21601       27         0.83845799   1           
0            -0.081990213 -0.124612564  0.476348790 S            1.29292914   14.21336      119         0.72049299   1           
0            -0.324573671 -0.587179922  1.041239230 S            0.60970600   14.21336      119         0.61875785   1           
0            -0.436451306 -1.247062597  0.647759028 S            0.79110313   14.21336      119         0.43613412   1           
1             1.251930773 -0.567048945 -0.204894686 S            1.06710680   14.20564       22         0.26780706   1           
1             0.457084137 -0.383975379  0.408007865 S            0.87860420   14.20564       22         0.50407867   1           
0            -0.003463635 -0.562099395  0.513263236 S            0.42357636   14.19797       57         0.56192032   1           
0             0.668742070  1.332778211 -0.222388218 S            0.75410700   14.19435       51         0.90595779   1           
0            -0.610331587  0.812077606 -0.136401600 S            0.69229385   14.19435       51         0.94807257   1           
1            -0.228613585 -0.422670102  0.458571223 S            0.68796554   14.19435       51         0.66657169   1           
0            -0.922103328 -0.260089357 -0.897737962 S            6.66467375   14.18562      130         0.86501004   1           
1             1.839515751 -0.761819235  0.833700715 S            3.99889467   14.18562      130         0.11342222   1           
0            -0.178496043 -1.195680093  0.678891326 S            1.40833598   14.18562      130         0.38526425   1           
0             0.029826784 -0.364437150  0.499492595 S            0.53095164   14.18562      130         0.62009067   1           
0            -0.444667794 -0.526436367  0.191319356 S            0.83013134   14.18448      143         0.69398694   1           
0             0.969356366  0.546096393  0.359772583 S            2.65436535   14.18208      148         0.68252152   1           
0             0.091920387 -0.128920024  0.691977239 S            2.61063621   14.18208      148         0.67331402   1           
0            -0.539293837 -0.735276283  0.466823463 S            0.16972089   14.18208      148         0.64360063   1           
0             0.789897363 -0.726462207  0.652151431 S            0.57475132   14.18208      148         0.29890840   1           
0             1.263906834 -1.042678807  0.687255152 S            0.74122049   14.18208      148         0.14101448   1           
1            -1.029372454  0.777911747 -0.844765376 S            4.04148394   14.18088       49         0.96796970   1           
0             0.731411737  0.998796780  0.690085361 S            4.17849069   14.17432      168         0.83253017   1           
0            -0.846911855  0.826588114 -0.438270270 S            2.27721261   14.17432      168         0.96165871   1           
0            -0.583408189 -0.554704394 -0.184210829 S            0.60443620   14.17432      168         0.72753717   1           
0             0.207557596 -1.168331341  0.749240786 S            4.32199741   14.17009      111         0.29850824   1           
1             0.384045324  1.482595822 -0.491405162 S            3.11742371   14.17009      111         0.94364014   1           
1            -0.321177927 -0.672565403 -0.269806899 S            0.33143008   14.17009      111         0.63378197   1           
0            -0.075865746  0.018162457  0.013731350 S            2.10378393   14.16579      134         0.76935208   1           
0             0.857478731  0.617416583 -0.242985850 S            0.48266752   14.16579      134         0.74471632   1           
1             0.375859155  0.733946543 -0.123528714 S            1.27308791   14.16579      134         0.84986933   1           
0             0.187274090 -0.081215130  0.667154582 S            3.84957661   14.15785       54         0.66608409   1           
0             0.409786275 -1.022723780  0.648945889 S            1.67196174   14.15785       54         0.29834858   1           
1             0.297635768  1.086214612  0.175073550 S            6.44228619   14.15785       54         0.90593434   1           
1            -0.606753929  1.339352366 -1.098429197 S            6.69778272   14.15785       54         0.97748313   1           
1             0.772676090  1.719897055 -0.897631448 S            3.18302879   14.15785       54         0.94201226   1           
0             0.267983647  1.430069516 -0.442875700 S            3.26110431   14.15785       54         0.94597994   1           
1            -0.374509298 -1.176867467  0.540936390 S            0.90391860   14.15785       54         0.44752296   1           
0            -0.194716784 -0.871395293  0.551318895 S            0.67086134   14.15785       54         0.50479873   1           
0             0.576966026 -0.496258390  0.100869325 S            0.91470362   14.15785       54         0.44398371   1           
0            -0.230463053 -0.860590943  0.376850206 S            0.23265995   14.15785       54         0.52435209   1           
0             0.659888880  0.852195268 -0.107145963 S            2.49023916   14.15719      144         0.83064485   1           
1             1.800009909  1.733419961  0.495389300 S            1.62751918   14.15719      144         0.81810598   1           
1             0.783014917  0.513567188  0.630321288 S            4.65411575   14.15719      144         0.70724685   1           
1             0.989367000  1.357919428 -0.463635638 S            4.23720474   14.15719      144         0.87971494   1           
1             1.315722248  1.129267285  0.596216763 S            1.28732139   14.15719      144         0.76315471   1           
0            -0.037390755 -1.221576620  0.253903493 S            1.08374983   14.15719      144         0.35559473   1           
0            -1.883887161  1.081808084 -1.608840650 S            5.74404167   14.15591       46         0.99229923   1           
0            -0.550997026 -1.184359367  0.459712436 S            5.02673626   14.15568       16         0.49506331   1           
0             1.429449351  1.211691196 -0.968351169 S            1.87319234   14.15568       16         0.79979059   1           
0             0.328106506  0.623425786  0.703059688 S            2.26403712   14.14638       82         0.81960095   1           
0            -0.232403478 -0.899978246  0.604874768 S            0.65796150   14.14638       82         0.50309074   1           
1            -0.624490627  0.798669832 -0.270227880 S            1.87909864   14.13993       24         0.94883663   1           
1             0.745692053  0.106744874  0.108690441 S            2.87906165   14.13897       94         0.60606469   1           
0            -0.359683238  1.445057524 -0.899401597 S            0.66200196   14.13897       94         0.97400874   1           
0             0.103744853  1.506574366  0.330106109 S            1.16746589   14.13897       94         0.95416808   1           
1             0.104351236 -0.274186523  0.423437069 S            0.60002216   14.13897       94         0.63322797   1           
1             0.581119749 -1.328331103  0.692418508 S            2.95996092   14.13881       89         0.18686579   1           
1            -0.143204562 -1.193841543  0.682548281 S            1.87730657   14.13881       89         0.37679373   1           
1            -0.573948617  0.803467313 -0.036598693 S            0.26537447   14.13881       89         0.94476214   1           
1            -0.707868268 -1.197839943  0.392406211 S            0.38120735   14.13114       48         0.53488995   1           
1            -0.187197637 -1.349127630  0.609155586 S            0.43563707   14.13069       74         0.34044229   1           
1             0.185182069 -0.022022868  0.259528407 S            3.44727845   14.12985       35         0.69700542   1           
1             0.698091000 -1.033654356  0.488293489 S            1.03680363   14.11721      174         0.23911224   1           
0            -1.283750058  1.205636093 -1.062752333 S            2.00578171   14.11564      176         0.98671533   1           
1            -0.106942867 -0.656008252  0.511132971 S            0.20226757   14.11564      176         0.55724292   1           
0             1.016411675 -0.110034468  0.362232532 S            0.44257768   14.11564      176         0.45070955   1           
1            -0.410134291 -1.304618652  0.675087282 S            1.07169177   14.11564      176         0.40876375   1           
1             0.818548952 -1.073468784  0.557780699 S            0.42657679   14.10592       77         0.20548871   1           
0             0.261161840  0.562319239  0.423457357 S            1.87706978   14.10350       70         0.82353274   1           
1             0.768704282  0.732150400  0.395941437 S            0.86498578   14.10350       70         0.77463901   1           
1             1.567249853 -0.380747843  0.817302748 S            0.86249275   14.10350       70         0.22595208   1           
0             1.201691954  0.803179495  0.354188246 S            0.57753932   14.10350       70         0.70552631   1           
0             1.700896632  0.578357083  0.613309602 S            5.39336265   14.10293       50         0.49686536   1           
0            -0.324027926 -0.657102202  0.567945105 S            0.92696017   14.10293       50         0.61154889   1           
1             0.506201148  0.953684013 -0.086710637 S            0.55080487   14.10293       50         0.86917390   1           
0             0.028189550  0.982669686 -0.118796483 S            6.24236438   14.10219      172         0.92075083   1           
0             0.594520810 -0.772109761  0.671039779 S            1.06042334   14.10219      172         0.32992009   1           
0             0.231630995 -1.143420389  0.677892131 S            0.11738094   14.10219      172         0.30248067   1           
1             0.042894334 -0.529546092  0.673667105 S            0.31978936   14.10219      172         0.55515961   1           
0            -0.238194434 -1.184769917  0.433276864 S            0.49545150   14.10103      103         0.41266874   1           
0             0.783894173 -0.015215260 -0.318802990 S            0.02247562   14.10103      103         0.56978787   1           
0             0.485523493  0.579335900  0.387374729 S            1.35038556   14.10103      103         0.79050681   1           
1            -0.142628498 -1.151284590  0.620445989 S            0.79090598   14.10103      103         0.39274363   1           
1             0.332927250 -1.044207532  0.641834862 S            4.86202632   14.09895      206         0.30973091   1           
1             0.093678897  0.950184278  0.108396261 S            0.73881121   14.09895      206         0.90926311   1           
0             0.106746448  0.992758380 -0.516922691 S            0.52408948   14.09895      206         0.91973800   1           
0            -0.039967882 -0.730373908  0.803420522 S            0.44529339   14.09895      206         0.50324250   1           
1            -0.012498739 -0.642006201  0.507273134 S            0.83665695   14.09895      206         0.53703991   1           
1            -0.557455003 -0.722255982 -0.263710284 S            6.98784714   14.09733      132         0.67537875   1           
0             0.666801645  1.561148833 -0.927363859 S            1.48161478   14.09733      132         0.93614547   1           
1             0.322376188 -0.144458323 -0.149127396 S            2.82287050   14.09733      132         0.63956272   1           
1             1.224522268 -1.068683709  0.759202310 S            2.30863850   14.09733      132         0.14052592   1           
1             1.085721234 -0.623548024 -0.305701861 S            1.06509856   14.09733      132         0.29085338   1           
1             1.569341874 -0.022959611  0.014213195 S            0.44482138   14.09733      132         0.34936334   1           
0            -0.214606142 -1.003258354  0.601020003 S            0.51632319   14.09733      132         0.46261478   1           
0             0.246275141 -1.160728516  0.629712641 S            1.10498146   14.09733      132         0.29557295   1           
